A-Star Search
---END PATH---
L[5,3,0]  -  [94,93,1]R
L[6,3,1]  -  [93,93,0]R
L[4,3,0]  -  [95,93,1]R
L[4,4,1]  -  [95,92,0]R
L[4,2,0]  -  [95,94,1]R
L[4,3,1]  -  [95,93,0]R
L[3,2,0]  -  [96,94,1]R
L[3,3,1]  -  [96,93,0]R
L[3,1,0]  -  [96,95,1]R
L[4,1,1]  -  [95,95,0]R
L[2,1,0]  -  [97,95,1]R
L[2,2,1]  -  [97,94,0]R
L[2,0,0]  -  [97,96,1]R
L[3,0,1]  -  [96,96,0]R
L[1,0,0]  -  [98,96,1]R
L[1,1,1]  -  [98,95,0]R
L[0,0,0]  -  [99,96,1]R
---START PATH---
Number of Solution Path Nodes: 388
Number Node Expanded: 684

